측정 연도,측정 월,측정 일자,정점명,위도,경도,날씨,수심,수층,투명도,수질평가지수(WQI)등급,수온,염분,수소이온농도,용존산소량,화학적산소요구량,암모니아성질소,아질산성질소,질산성질소,용존무기질소,총질소,용존무기인,총인,규산규소,부유물질,클로로필에이
2021,05,2021-05-30,조천3,33.560556,126.666389,맑음,13,표층,8,2,18.17,34.35,8.23,8.57,0.75,3.4,1.5,1.5,6.4,113.3,0.5,12.6,33.8,34.5,2.74
2021,05,2021-05-30,표선1,33.280833,126.7675,맑음,51,표층,7,2,18.04,34.29,8.21,8.24,0.83,14.9,1.9,22,38.8,128,1.9,11.8,212,31.5,1.36
2021,05,2021-05-30,표선2,33.325556,126.865556,맑음,21,표층,12,1,17.77,34.34,8.18,9.91,0.87,26,4.1,108.3,138.4,244,12.3,27.9,603.1,26.3,1.45
2021,05,2021-05-30,한림1,33.376111,126.185,맑음,24,표층,9,1,17.18,34.37,8.14,8.24,0.87,0.5,1.5,61,62.9,152.5,6.5,15.1,223.9,21.7,0.82
2021,05,2021-05-30,한림2,33.463056,126.274444,맑음,33,표층,10,1,17.37,34.27,8.19,8.37,1.64,30.3,3.2,28.5,62,191.6,0.5,10,194.2,21.4,1.27
2021,05,2021-05-30,한림3,33.294444,126.16,맑음,30,표층,8,1,16.95,34.39,8.17,8.96,1.3,0.6,2,72.1,74.8,77.9,9.4,11.3,245.3,22,0.3
2021,05,2021-05-30,대정1,33.2025,126.251667,맑음,19,저층,9,1,17.7,34.38,8.15,8.66,0.83,0.6,2.6,43.1,46.4,169.8,5.5,16.2,221.7,24.1,0.08
2021,05,2021-05-30,대정2,33.22,126.3275,맑음,26,저층,8,1,17.76,34.41,8.18,8.21,0.93,10.4,3.2,42.5,56.1,161.7,6,14.9,228.3,27.6,0.62
2021,05,2021-05-30,대정3,33.237778,126.202778,맑음,27,저층,8,2,17.38,34.36,8.14,8.41,0.87,2.6,2,47.5,52.1,118.1,6.5,12.6,221.3,38.5,0.4
2021,05,2021-05-30,서귀포1,33.2625,126.661111,맑음,10,저층,9,2,18.56,34.32,8.21,8.89,0.83,6.9,1.9,15.9,24.8,98.5,2.1,7.9,189.1,24,0.64
2021,05,2021-05-30,서귀포2,33.229444,126.4125,맑음,22,저층,9,1,18.13,34.39,8.19,8.92,0.88,0.4,1.4,17.7,19.4,145,2.2,12.6,196.5,23.7,0.77
2021,05,2021-05-30,서귀포3,33.229444,126.566944,맑음,50,저층,10,1,17.25,34.45,8.18,7.83,1.01,17.6,3.2,35.9,56.8,160.6,5.4,11.7,218.8,25.6,0.42
2021,05,2021-05-30,성산포1,33.48,126.938611,맑음,16,저층,10,2,17.54,34.34,8.22,8.2,0.5,3.2,1.9,26,31.1,125.6,3.3,11.1,194.1,31.5,1.47
2021,05,2021-05-30,성산포2,33.411389,126.938611,맑음,43,저층,11,1,17.56,34.34,8.24,7.92,0.19,0.5,1.7,28.7,30.9,135.9,4,13.5,223.4,23.4,0.93
2021,05,2021-05-30,제주1,33.526944,126.532778,맑음,12,저층,7,3,17.95,34.33,8.22,8.51,0.53,0.3,2.1,9.5,11.9,89.9,1.4,12.1,112.5,24.7,2.04
2021,05,2021-05-30,제주2,33.500556,126.427778,맑음,26,저층,7,3,17.53,34.46,8.2,8.51,0.83,0.1,2.3,24,26.4,111.1,3.4,14,176.7,26.7,1.33
2021,05,2021-05-30,제주3,33.533889,126.568333,맑음,18,저층,9,2,17.99,34.34,8.23,8.87,0.87,47.7,1.6,5.2,54.4,215,0.7,13.1,64.8,25.7,2.18
2021,05,2021-05-30,조천1,33.5375,126.855556,맑음,18,저층,9,2,17.91,34.32,8.24,8.5,0.75,20,1.3,8.4,29.7,141.7,1.4,11.5,132.5,35.4,1.82
2021,05,2021-05-30,조천2,33.573889,126.732778,맑음,40,저층,10,2,17.95,34.36,8.23,9.21,0.75,38.6,2.4,11.7,52.7,177.4,2.9,12.7,66.9,24.3,1.05
2021,05,2021-05-30,조천3,33.560556,126.666389,맑음,13,저층,8,2,18.24,34.36,8.24,8.59,0.53,4.2,1.2,1.2,6.6,135.4,0.8,12.5,33.3,26.1,2.86
2021,05,2021-05-30,표선1,33.280833,126.7675,맑음,51,저층,7,2,17.68,34.4,8.21,8.66,0.4,76,2,29.7,107.7,253.4,3.5,12.6,224.1,35.4,0.79
2021,05,2021-05-30,표선2,33.325556,126.865556,맑음,21,저층,12,1,17.7,34.36,8.23,8.12,0.82,0.4,1.9,28.9,31.2,132.4,3.9,12.9,215.5,35.5,0.83
2021,05,2021-05-30,한림1,33.376111,126.185,맑음,24,저층,9,1,16.9,34.37,8.16,8.17,0.79,1.6,3.1,64.4,69.1,118,9.1,14.2,245.2,35,0.02
2021,05,2021-05-30,한림2,33.463056,126.274444,맑음,33,저층,10,1,16.84,34.41,8.18,8.01,0.9,46,3.1,60.5,109.6,231.2,8.9,13.6,243.2,32.7,0.02
2021,05,2021-05-30,한림3,33.294444,126.16,맑음,30,저층,8,1,16.91,34.42,8.18,8.7,1.1,12,2.8,70.5,85.3,180.1,9.5,16.3,249.8,31.7,0.3
2021,02,2021-02-24,대정1,33.2025,126.251667,맑음,20,표층,15,1,15.26,34.68,8.02,8.31,1.06,25.68,4.49,62.92,93.09,341.96,10.39,14.54,194.35,29.55,0.38
2021,02,2021-02-24,대정2,33.22,126.3275,맑음,35,표층,12,1,15.5,34.69,8.21,9.02,0.47,0.1,5.1,71.34,76.54,80.72,9.83,15.04,186.56,25.35,0.37
2021,02,2021-02-24,대정3,33.237778,126.202778,맑음,27,표층,15,1,15.3,34.67,8.25,10.21,0.66,62.45,5.89,82.52,150.86,165.26,9.21,12.49,168.62,24.2,0.25
2021,02,2021-02-24,한림1,33.376111,126.185,맑음,26,표층,15,1,15.16,34.74,8.26,8.72,0.58,0.2,3.33,46.65,50.18,108.51,13.76,13.92,303.77,25.35,0.3
2021,02,2021-02-24,한림3,33.294444,126.16,맑음,14,표층,12,1,14.97,34.69,8.28,9.57,0.55,104.86,3.63,50.76,159.25,192.28,7.84,11.69,163.21,30.6,0.4
2021,02,2021-02-24,대정1,33.2025,126.251667,맑음,20,저층,15,1,15.23,34.69,8.16,9.01,0.55,100.97,4.16,47.29,152.42,433.69,9.8,12.77,164.95,33.15,0.36
2021,02,2021-02-24,대정2,33.22,126.3275,맑음,35,저층,12,1,15.48,34.71,8.24,8.77,0.6,1.44,4.38,61.35,67.17,215.15,9.95,13.86,201.07,26.4,0.34
2021,02,2021-02-24,대정3,33.237778,126.202778,맑음,27,저층,15,1,15.11,34.7,8.27,8.9,0.77,6.4,3.54,49.59,59.53,128.67,7.04,10.54,187.68,23.55,0.41
2021,02,2021-02-24,한림1,33.376111,126.185,맑음,26,저층,15,1,15.02,34.74,8.25,8.97,0.97,8.69,3.16,44.3,56.15,152.05,7.81,12.99,194.43,27.2,0.34
2021,02,2021-02-24,한림3,33.294444,126.16,맑음,14,저층,12,1,14.97,34.69,8.28,10.11,0.92,56.74,3.01,42.14,101.89,268.63,7.66,16.21,193.87,24.9,0.3
2021,02,2021-02-15,제주1,33.526944,126.532778,맑음,15,표층,11,1,14.99,34.54,8.28,8.45,0.88,0.35,4.79,67.03,72.17,124.61,9.77,15.28,169.76,18.45,1.25
2021,02,2021-02-15,제주2,33.500556,126.427778,맑음,27,표층,12,1,15.01,34.55,8.28,8.67,1.07,0.6,3.09,43.32,47.01,72.38,8.49,12.77,255.39,17.45,1.37
2021,02,2021-02-15,제주3,33.533889,126.568333,맑음,26,표층,9.5,1,14.95,34.55,8.28,8.92,0.99,0.98,2.67,37.44,41.09,121.66,7.44,13.55,194.85,18.8,1.32
2021,02,2021-02-15,한림2,33.463056,126.274444,맑음,33,표층,8.5,1,15.36,34.64,8.28,8.7,1.11,3.49,3.22,45.08,51.79,141.62,9.7,11.16,189.03,24.75,0.27
2021,02,2021-02-15,제주1,33.526944,126.532778,맑음,15,저층,11,1,14.94,34.53,8.28,8.65,0.96,2.11,3.58,50.18,55.87,147.8,7.53,14.07,177.8,23.9,1.17
2021,02,2021-02-15,제주2,33.500556,126.427778,맑음,27,저층,12,1,15.04,34.56,8.29,9.42,1.03,2.59,4.8,67.23,74.62,81.86,8.12,13.86,164.3,27,1.2
2021,02,2021-02-15,제주3,33.533889,126.568333,맑음,26,저층,9.5,1,14.91,34.55,8.28,9.1,0.93,0.5,4.27,59.78,64.55,76.44,7.1,10.14,182.2,18.55,1.3
2021,02,2021-02-15,한림2,33.463056,126.274444,맑음,33,저층,8.5,1,15.35,34.64,8.28,8.89,1.05,2.97,2.86,39.98,45.81,144.3,7.72,11.07,192.61,31.45,0.55
2021,02,2021-02-14,서귀포1,33.2625,126.661111,맑음,43,표층,13,1,15.83,34.61,8.26,8.66,0.8,0.43,3.6,50.37,54.4,148.97,7.1,8,174.02,15.65,0.76
2021,02,2021-02-14,서귀포2,33.229444,126.4125,맑음,32,표층,12,1,15.61,34.62,8.26,9.45,0.74,1.79,4.02,56.25,62.06,148.62,8.25,11.81,185.95,19.2,1.45
2021,02,2021-02-14,서귀포3,33.229444,126.566944,맑음,21,표층,11.5,1,15.78,34.63,8.27,9.19,0.66,0.98,4.14,58.02,63.14,133.77,6.88,10.17,156.77,17.45,0.76
2021,02,2021-02-14,성산포1,33.48,126.938611,맑음,15,표층,7.5,1,14.85,34.66,8.28,8.95,0.88,0.1,3.02,42.34,45.46,119.97,7.81,10.88,195.52,21.65,0.53
2021,02,2021-02-14,성산포2,33.411389,126.938611,맑음,48,표층,10,1,14.78,34.64,8.27,8.69,0.95,0.84,4.09,57.23,62.16,161.62,8.71,8.77,200.87,18.8,0.85
2021,02,2021-02-14,조천1,33.5375,126.855556,맑음,16,표층,9,1,14.76,34.63,8.27,8.54,0.82,1.13,4.44,62.13,67.7,137.35,8.49,15.19,158.45,21.7,0.38
2021,02,2021-02-14,조천2,33.573889,126.732778,맑음,43,표층,9,1,14.9,34.65,8.26,8.7,0.99,0.01,3.7,51.74,55.45,133.67,8.31,8.96,170.3,17.75,0.69
