측정 일자,정점명,위도,경도,날씨,수심,수층,투명도,수질평가지수(WQI)등급,수온,염분,수소이온농도,용존산소량,화학적산소요구량,암모니아성질소,아질산성질소,질산성질소,용존무기질소,총질소,용존무기인,총인,규산규소,부유물질,클로로필에이
2014-02-05,성산포항 H01,33.470833,126.9275,구름조금,4,표층,4,2,9.53,33.55,8.24,9.6,0.34,7.2,2.5,69.7,79.3,334.3,14.1,17.1,640.6,1.5,0.41
2014-02-05,성산포항 H01,33.470833,126.9275,구름조금,4,저증,4,2,9.71,33.4,8.19,9.79,0.34,4.8,2.5,72.8,80.1,364.8,14.3,19.6,675.1,8.5,0.67
2014-02-05,제주항 H01,33.526111,126.54,구름조금,14,표층,6.2,2,14.51,34.38,8.23,8.5,0.41,9.5,2.5,45.7,57.7,245.4,12.5,13.1,272.6,54.2,0.44
2014-02-05,제주항 H01,33.526111,126.54,구름조금,14,저증,6.2,2,14.5,34.38,8.24,8.55,0.41,1.6,2.3,50.4,54.3,206.4,13.5,13.6,296.4,32.7,0.44
2014-02-05,제주항 H02,33.527222,126.530556,구름조금,6,표층,3.6,3,13.7,33.97,8.08,8.52,0.32,8.2,2.1,79.1,89.4,317.2,16.7,23.1,460.6,1.8,0.44
2014-02-05,제주항 H02,33.527222,126.530556,구름조금,6,저증,3.6,3,13.77,34.17,8.05,8.55,0.32,3.5,2,66,71.5,300.5,15.5,20.1,386.7,3.6,0.23
2014-02-06,서귀포항 H01,33.236389,126.565278,구름조금,7,표층,6.5,2,15.03,34.18,7.99,8.27,0.37,5.5,1.4,48,54.9,253.7,11.7,16.2,295.8,24.8,0.44
2014-02-06,서귀포항 H01,33.236389,126.565278,구름조금,7,저증,6.5,2,14.99,34.2,8.23,8.48,0.37,2.8,1.4,47.9,52.1,260.5,11.5,15.9,295.9,43.1,0.87
2014-02-06,서귀포항 H02,33.240278,126.56,구름조금,4,표층,3.4,4,14.27,33.2,8.03,8.56,0.39,52.3,4.8,233,290.1,721.4,20.5,27.4,1532.9,11.6,2.62
2014-02-06,서귀포항 H02,33.240278,126.56,구름조금,4,저증,3.4,4,14.81,33.29,8.08,8.32,0.39,17.2,2.5,95.1,114.8,428.4,14,31.4,628.8,36.8,3.54
2014-02-06,한림항 H01,33.415556,126.255278,구름조금,8,표층,7,2,12.8,34.28,8.11,9.01,0.41,1.8,1.6,70.8,74.2,299.1,15.1,18.5,310.8,31.2,0.44
2014-02-06,한림항 H01,33.415556,126.255278,구름조금,8,저증,7,2,12.11,34.2,8.08,8.94,0.41,5.3,1.7,71.8,78.7,269.5,15.6,17.5,318.1,39,0.44
2014-02-06,한림항 H02,33.418056,126.259722,구름조금,4,표층,4,3,11.89,34.03,8.08,8.98,0.73,26.1,2.2,131.5,159.8,522.9,24.2,30.6,490.5,34.8,0.46
2014-02-06,한림항 H02,33.418056,126.259722,구름조금,4,저증,4,3,11.8,34.03,8.16,9.03,0.73,19.8,2,116.8,138.6,526.9,22,23.7,446,24.4,0.44
2014-08-13,서귀포항 H01,33.236389,126.565278,구름조금,17,표층,7.5,3,23.14,32.28,8.15,6.84,1.02,3.3,2.4,554.7,560.4,570.1,3.3,12.2,1447.9,13.6,6.73
2014-08-13,서귀포항 H01,33.236389,126.565278,구름조금,17,저증,7.5,3,20.86,32.85,8.18,7.48,1.02,3.3,1.5,49.2,54.1,98,3.4,4.7,303,9.6,0.99
2014-08-13,서귀포항 H02,33.240278,126.56,구름조금,2,표층,2,4,23.21,32.22,8.16,7.53,1.44,94.6,4.7,452,551.3,556.6,4.4,25,1394.6,15.2,29.02
2014-08-13,서귀포항 H02,33.240278,126.56,구름조금,2,저증,2,4,23.12,32.44,8.11,8.38,1.44,63.5,4.7,537.1,605.2,614.2,4.2,20.7,1552.4,12.6,29.02
2014-08-13,성산포항 H01,33.470833,126.9275,구름조금,5,표층,4.5,3,22.07,32.47,8.19,7.04,0.73,7.6,2,59,68.6,292.3,4.1,11.1,492.9,9.6,5.86
2014-08-13,성산포항 H01,33.470833,126.9275,구름조금,5,저증,4.5,3,21.82,32.58,8.19,7.44,0.73,7.1,1.7,53.8,62.6,255.4,4,9.9,422.5,9.6,1.91
2014-08-13,제주항 H01,33.526111,126.54,맑음,15,표층,9,2,22.54,32.46,8.19,6.87,0.52,16,1.3,91.9,109.2,178,4.4,9,386.8,6.6,3.31
2014-08-13,제주항 H01,33.526111,126.54,맑음,15,저증,9,2,21,32.99,8.16,7.14,0.52,5.9,1.8,68.1,75.8,217,5.5,10.7,316,12,0.99
2014-08-13,제주항 H02,33.527222,126.530556,맑음,6,표층,5,4,22.28,32.05,8.16,7.03,0.54,19.3,2.5,628.6,650.3,748.1,23.3,29.4,1769,7.2,1.85
2014-08-13,제주항 H02,33.527222,126.530556,맑음,6,저증,5,4,22.05,32.54,8.16,7.18,0.54,23.9,4.8,542.4,571.1,573.9,4.3,14.4,1495.1,8.4,1.45
2014-08-13,한림항 H01,33.415556,126.255278,맑음,8,표층,4,3,21.68,32.75,8.18,7.47,3.37,2.2,1.6,156.6,160.4,273.1,3.5,9.8,379.3,7.8,7.71
2014-08-13,한림항 H01,33.415556,126.255278,맑음,8,저증,4,3,21.06,33.1,8.18,7.2,3.37,2.6,1.3,105.1,109,260.5,3.4,9.5,331.2,6.4,4.58
2014-08-13,한림항 H02,33.418056,126.259722,맑음,5,표층,2,4,23.14,32.35,8.16,7.53,5.44,24.5,2.5,254.7,281.7,292.2,6.8,10.1,489.7,18.6,6.79
2014-08-13,한림항 H02,33.418056,126.259722,맑음,5,저증,2,4,21.69,32.93,8.17,7,5.44,2.5,1.9,184.8,189.2,404.9,5.7,15.2,418.6,7.6,6.38
2015-02-10,성산포항 H01,33.470833,126.9275,맑음,6,표층,6,2,11.13,34.05,8.14,9.81,1.95,11.5,3.4,106.8,121.7,222.3,12.6,12.7,399.1,3.6,0.53
2015-02-10,성산포항 H01,33.470833,126.9275,맑음,6,저증,6,2,10.67,33.92,8.25,9.23,1.95,15.6,3.6,126,145.3,183.3,11.9,12.9,461.3,8.6,0.56
2015-02-10,제주항 H01,33.526111,126.54,구름조금,20,표층,6,2,12.26,34.14,8.19,9.88,0.03,12.8,2.6,109.7,125.1,270,12.4,18.9,336.3,3.2,0.56
2015-02-10,제주항 H01,33.526111,126.54,구름조금,20,저증,6,2,12.23,34.14,8.17,9.1,0.03,7.2,2.7,107,116.9,282.8,12.3,18.6,339.1,8.6,0.55
2015-02-10,제주항 H02,33.527222,126.530556,구름조금,5,표층,1.5,4,12.21,31.9,8.15,9.12,1.85,52.9,3.5,557.2,613.6,819.4,37.3,48.1,82.1,12.2,0.37
2015-02-10,제주항 H02,33.527222,126.530556,구름조금,5,저증,1.5,4,12.7,33.82,8.17,8.66,1.85,17.8,2.5,147.5,167.8,219.9,15.6,16.6,546.6,4.4,0.51
2015-02-11,서귀포항 H01,33.236389,126.565278,맑음,7,표층,7,2,14.72,34.02,8.1,8.57,1.4,7.8,3.3,104.7,115.8,204.4,11.7,17,420.9,5.4,0.85
2015-02-11,서귀포항 H01,33.236389,126.565278,맑음,7,저증,7,2,15.31,34.38,8.12,8.71,1.4,6,3.2,73.5,82.6,171,9.8,15.5,277.4,5.1,1.25
2015-02-11,서귀포항 H02,33.240278,126.56,맑음,4,표층,2,3,15.15,33.94,8.15,8.35,3.11,26.9,3.2,150.2,180.3,253.9,12.9,19.3,670.6,3.2,2.16
2015-02-11,서귀포항 H02,33.240278,126.56,맑음,4,저증,2,3,15.26,34.16,8.17,8.68,3.11,14.8,2.6,102.6,120,178.8,11.5,15,442.9,7.4,2.86
2015-02-11,한림항 H01,33.415556,126.255278,맑음,6,표층,6,2,12.55,33.91,8.16,9.07,1.35,5.4,2.4,200,207.9,326.2,13.9,22.2,402.8,4.7,0.34
2015-02-11,한림항 H01,33.415556,126.255278,맑음,6,저증,6,2,11.74,33.85,8.21,9.19,1.35,7.6,2.4,231.2,241.3,366.2,15.3,21.7,422.4,6.4,0.31
2015-02-11,한림항 H02,33.418056,126.259722,맑음,4,표층,4,4,11.04,33.03,8.16,9.56,0.35,39.5,2.9,593.6,636,768.3,27.8,35.2,892.7,4.2,0.32
2015-02-11,한림항 H02,33.418056,126.259722,맑음,4,저증,4,4,10.81,33.63,8.2,9.36,0.35,20,2.2,326.2,348.4,352.2,20.6,20.6,548,12.3,0.41
2015-08-20,서귀포항 H01,33.236389,126.565278,구름조금,4,표층,1.5,3,26.5,29.65,8.17,7.89,2.32,55.3,4.7,113.6,173.6,753.4,7.3,30.8,2587.2,3.6,8.72
2015-08-20,서귀포항 H01,33.236389,126.565278,구름조금,4,저증,1.5,3,26.47,30.77,8.12,6.94,2.32,23.8,3.9,214,241.7,460,5.2,23.3,1022.9,4.8,9.18
2015-08-20,서귀포항 H02,33.240278,126.56,구름조금,18,표층,3.5,4,26.61,30.36,8.13,7.03,1.68,31.9,3.3,108.6,143.8,316.5,5.6,18.3,500.4,3.6,6.84
2015-08-20,서귀포항 H02,33.240278,126.56,구름조금,18,저증,3.5,4,22.84,32.42,8.09,5.86,1.68,28.2,4.9,67.6,100.8,235.1,3.4,14.7,280.7,2.7,1.15
2015-08-20,성산포항 H01,33.470833,126.9275,구름조금,5,표층,3.5,4,22.55,31.97,8.13,7.03,1.29,46.5,6.9,205.1,258.5,388.7,3.6,15.6,1327.2,2.9,2.76
2015-08-20,성산포항 H01,33.470833,126.9275,구름조금,5,저증,3.5,4,21.7,32.65,8.13,6.94,1.29,13.7,4.3,93.5,111.5,255.4,4.2,13.6,508.8,1.2,3.02
2015-08-20,제주항 H01,33.526111,126.54,구름조금,13,표층,5.5,3,23.52,31.82,8.17,7.63,1.34,20.7,2.3,89.5,112.6,239.3,3,13.8,328.1,1.9,5.25
2015-08-20,제주항 H01,33.526111,126.54,구름조금,13,저증,5.5,3,22.32,32.5,8.16,7.19,1.34,19.6,1.7,54.7,76,154.5,1.9,9,192.5,3.1,3.64
2015-08-20,제주항 H02,33.527222,126.530556,맑음,6,표층,3,3,23.1,31.89,8.16,7.36,1.28,12.2,1.9,112.1,126.2,269.5,4.2,15,428.3,3.4,3.47
2015-08-20,제주항 H02,33.527222,126.530556,맑음,6,저증,3,3,22.92,32.28,8.17,7.5,1.28,11.1,1.7,80.2,93,248.7,2.6,15.5,339.1,3.7,4.56
2015-08-20,한림항 H01,33.415556,126.255278,맑음,5,표층,3,4,24.84,31.94,8.13,7.1,1.09,46.7,3.1,144.3,194.1,270.6,3.4,14.4,290.1,3,3.78
2015-08-20,한림항 H01,33.415556,126.255278,맑음,5,저증,3,4,24.59,31.97,8.13,7.09,1.09,32.1,3.1,140.5,175.7,319.9,3.7,17.1,284.5,2.9,4.18
2015-08-20,한림항 H02,33.418056,126.259722,맑음,3,표층,2.5,4,24.63,31.68,8.11,6.93,1.16,44.4,3.9,117.6,182.1,489.4,7.1,22.3,478.3,3.6,3.14
2015-08-20,한림항 H02,33.418056,126.259722,맑음,3,저증,2.5,4,24.51,31.96,8.11,6.96,1.16,45.8,4.1,303.9,359.6,446.7,6.6,24.8,415.1,4.1,3.6
2016-02-25,성산포항 H01,33.470833,126.9275,맑음,3,표층,3,3,11.07,34.01,8.44,9.48,0.87,20.1,3.8,162.5,186.4,397,9.1,15.8,685.6,5.3,0.18
2016-02-25,성산포항 H01,33.470833,126.9275,맑음,3,저증,3,3,11.66,33.74,8.37,9.3,0.87,14.1,2.8,112.4,129.3,319.6,11.5,14.3,464,4.9,0.3
2016-02-25,제주항 H01,33.526111,126.54,구름조금,13,표층,7,2,13.15,34.12,8.25,8.87,0.76,7.6,2,77.9,87.5,213.6,10.4,11.2,274.9,10,0.26
2016-02-25,제주항 H01,33.526111,126.54,구름조금,13,저증,7,2,13.27,34.17,8.25,8.86,0.76,5,1.8,69.3,76.1,177.2,9.1,9.9,237.3,3.1,0.37
2016-02-25,제주항 H02,33.527222,126.530556,구름조금,5,표층,4,2,12.76,32.62,8.26,8.97,0.88,27.7,2.1,70,99.8,1172.8,10.1,37.7,238.3,4.1,0.07
2016-02-25,제주항 H02,33.527222,126.530556,구름조금,5,저증,4,2,12.74,33.68,8.26,8.93,0.88,7.6,2.1,74.2,83.9,360,9.7,14.7,250.8,3.5,0.31
2016-02-25,한림항 H01,33.415556,126.255278,맑음,8,표층,5,2,11.02,33.9,8.27,9.19,1.24,17.6,1.6,202.4,221.6,259.2,11.7,12.1,364.6,2.7,0.1
2016-02-25,한림항 H01,33.415556,126.255278,맑음,8,저증,5,2,11.82,34.2,8.25,9.24,1.24,9.4,1.4,98.6,109.4,302.6,8.6,9.7,224.6,3.7,0.11
2016-02-25,한림항 H02,33.418056,126.259722,맑음,5,표층,3.5,3,10.81,33.87,8.26,9.25,1.24,9.7,1.5,175.4,186.6,341,11.3,12.2,320,7.8,0.15
2016-02-25,한림항 H02,33.418056,126.259722,맑음,5,저증,3.5,3,11.11,33.93,8.27,9.22,1.24,15.1,1.5,188.5,205,430.4,12.1,14,342.8,4.8,0.11
2016-02-26,서귀포항 H01,33.236389,126.565278,맑음,4,표층,4,3,14.74,33.79,8.25,8.15,1.31,38.1,2.5,574.4,615,995.8,18.8,24.1,793.8,3.6,0.07
2016-02-26,서귀포항 H01,33.236389,126.565278,맑음,4,저증,4,3,14.89,33.82,8.24,8.12,1.31,8.6,2.2,98.5,109.4,267.8,8.9,9.4,392.7,4.1,0.69
2016-02-26,서귀포항 H02,33.240278,126.56,맑음,3,표층,3,3,14.95,34.14,8.24,7.98,1.28,37,2.7,293.2,332.9,652.9,16.1,26.5,637.7,4,0.06
2016-02-26,서귀포항 H02,33.240278,126.56,맑음,3,저증,3,3,15.13,34.2,8.24,7.98,1.28,17,2.3,121.5,140.8,403.6,9.9,17.9,503.7,9.1,1.04
2016-08-18,서귀포항 H01,33.236389,126.565278,맑음,4,표층,4,4,30.08,26.37,8.16,7.91,1.59,16.5,2.9,561.2,580.6,666.8,4.4,25.3,2638.2,4.1,4.2
2016-08-18,서귀포항 H01,33.236389,126.565278,맑음,4,저증,4,4,29.66,28.08,8.39,8.45,1.59,20.4,1.6,182,204,365,3.9,18.6,1064.3,6,9.8
2016-08-18,서귀포항 H02,33.240278,126.56,맑음,3,표층,2.5,4,30.13,25.9,8.12,8.36,1.76,27.7,3.9,630.7,662.3,790.5,4.7,32.4,2765,3.8,8.7
2016-08-18,서귀포항 H02,33.240278,126.56,맑음,3,저증,2.5,4,30.16,25.79,8.36,8.37,1.76,32.6,1.7,250.5,284.8,525.6,4.1,27.5,1531,6.1,10.58
2016-08-18,성산포항 H01,33.470833,126.9275,맑음,3,표층,2,3,28.47,28.2,8.41,9.84,2.74,19.9,3.4,7.3,30.6,295.5,3.3,30.6,662.5,6.2,8.34
2016-08-18,성산포항 H01,33.470833,126.9275,맑음,3,저증,2,3,27.78,28.6,8.36,7.92,2.74,40.1,1.8,13.1,55,242.7,4.3,28.4,258.8,8.1,6.04
2016-08-18,제주항 H01,33.526111,126.54,맑음,15,표층,6,2,24.72,29.89,8.32,7.8,1.21,17.1,0.8,2.1,20,182.4,3.5,11.7,221.9,4,0.88
2016-08-18,제주항 H01,33.526111,126.54,맑음,15,저증,6,2,20.47,31.85,8.26,7.56,1.21,26.8,2,38.6,67.4,192.9,5,12.5,238.8,7,0.57
2016-08-18,제주항 H02,33.527222,126.530556,맑음,6,표층,5,2,24.52,29.48,8.33,8.4,0.65,21.1,1.2,65,87.3,495.2,4.1,26.8,414.5,6.7,0.77
2016-08-18,제주항 H02,33.527222,126.530556,맑음,6,저증,5,2,23.67,30.11,8.29,7.77,0.65,13.4,1.2,382.2,396.7,411.5,14.1,17.1,1987.5,6,0.77
2016-08-18,한림항 H01,33.415556,126.255278,맑음,7,표층,2.5,4,27.42,28.68,8.38,7.99,1.53,22.5,1.1,170.9,194.4,396.8,3.6,18.8,350.9,5.6,2.66
2016-08-18,한림항 H01,33.415556,126.255278,맑음,7,저증,2.5,4,24.34,30.33,8.34,7.84,1.53,28.8,1.2,65.3,95.3,271.6,4.5,18,271.8,5.6,2.2
2016-08-18,한림항 H02,33.418056,126.259722,맑음,5,표층,2.5,4,27.65,28.42,8.36,7.54,1.37,21.1,2.2,280.8,304.1,523,3.3,26.1,549.7,4.3,3.62
2016-08-18,한림항 H02,33.418056,126.259722,맑음,5,저증,2.5,4,25.59,29.78,8.21,7.5,1.37,19.3,1.5,170.8,191.6,491.9,3.4,25,429.8,5.1,3.2
2017-02-26,성산포항 H01,33.470833,126.9275,구름조금,4,표층,1.1,3,6.13,29.93,8.29,11.75,1.56,71.02,7.73,179.16,257.91,399.42,6.85,24.99,343.5,16,1.61
2017-02-26,성산포항 H01,33.470833,126.9275,구름조금,4,저증,1.1,3,5.53,31.47,8.25,11.35,1.56,29.89,6.66,155.05,191.6,365.81,8.96,23.62,365.65,29.5,3.06
2017-02-26,제주항 H01,33.526111,126.54,구름조금,14,표층,1,2,7.9,33.26,7.99,9.1,1.27,7.77,4.65,95.56,107.98,247.81,13.98,31.99,341.4,16,0.12
2017-02-26,제주항 H01,33.526111,126.54,구름조금,14,저증,1,2,7.81,33.26,8,9.11,1.27,5.24,4.51,88.87,98.62,252.39,14.17,24.68,344.12,21.83,0.16
2017-02-26,제주항 H02,33.527222,126.530556,구름조금,8,표층,1.7,3,5.73,29.84,8.31,12.25,1.53,28.73,8.34,207.47,244.54,470.02,7.13,28.12,343.56,10,1.7
2017-02-26,제주항 H02,33.527222,126.530556,구름조금,8,저증,1.7,3,5.32,31.32,8.26,11.18,1.53,83.66,7.32,177.09,268.07,358.25,8.06,22.2,366.58,15.25,3.54
2017-02-26,한림항 H01,33.415556,126.255278,구름조금,9,표층,1,3,2.22,30.62,8.01,10.55,1.69,11.52,12.07,597.63,621.22,861.03,22.01,45.64,422.18,12.3,0.42
2017-02-26,한림항 H01,33.415556,126.255278,구름조금,9,저증,1,3,2.26,31.09,8.1,10.73,1.69,7.84,5.89,263.12,276.85,753.1,16.8,49.9,347.62,19.9,0.7
2017-02-26,한림항 H02,33.418056,126.259722,구름조금,6,표층,7.2,3,14.16,34.4,8.15,9.25,1.11,8.6,3.33,273.52,285.45,633.41,15.38,17.95,462.95,3.2,0.03
2017-02-26,한림항 H02,33.418056,126.259722,구름조금,6,저증,7.2,3,14.18,34.42,8.14,9.47,1.11,13.85,3.96,192.11,209.92,229.67,4.68,12.93,530.46,4.15,0.05
2017-02-27,서귀포항 H01,33.236389,126.565278,맑음,7,표층,1.6,4,4.33,32.24,8.19,9.68,1.09,120.55,2.32,128.2,251.07,272.3,22.66,28.5,292.29,13.5,1.08
2017-02-27,서귀포항 H01,33.236389,126.565278,맑음,7,저증,1.6,4,4.28,32.26,8.21,9.61,1.09,82.07,13.34,359.74,455.15,498.26,33.98,37.4,390.74,14.6,0.84
2017-02-27,서귀포항 H02,33.240278,126.56,맑음,6,표층,1.1,3,2.75,30.26,8.07,10.95,1.28,24.43,5.43,350.81,380.67,684.24,21.91,48.92,459.28,14.5,0.54
2017-02-27,서귀포항 H02,33.240278,126.56,맑음,6,저증,1.1,3,2.74,30.3,8.15,11.12,1.28,29.57,3,185.44,218.01,655.59,16.49,41.54,224.84,18.1,0.66
2017-08-26,성산포항 H01,33.470833,126.9275,구름조금,16,표층,2,3,26.78,30.24,8.25,6.91,2.02,0.82,4.19,197.69,202.7,216.31,9.7,29.33,1065.82,3.1,1.41
2017-08-26,성산포항 H01,33.470833,126.9275,구름조금,16,저증,2,3,26.21,30.86,8.23,7.34,2.02,1.77,1.54,61.24,64.54,263.68,8.06,42.59,471.52,2.55,5.9
2017-08-26,제주항 H01,33.526111,126.54,구름조금,5,표층,1.2,2,23.69,32.55,8.2,6.63,1.35,0.59,4.58,19.7,24.87,137.23,9.3,15.56,302.96,32.15,1.12
2017-08-26,제주항 H01,33.526111,126.54,구름조금,5,저증,1.2,2,23.68,32.55,8.2,6.61,1.35,0.74,2.69,18.97,22.4,100.72,9.08,12.49,321.47,37.15,1.32
2017-08-26,제주항 H02,33.527222,126.530556,구름조금,7,표층,2.3,5,25.93,25.96,8.01,6.4,2.5,6.85,31.84,278.6,317.28,469.84,9.98,36.05,889.76,5.2,1.59
2017-08-26,제주항 H02,33.527222,126.530556,구름조금,7,저증,2.3,5,25.75,29.01,7.98,5.44,2.5,5.16,34.72,142.18,182.07,325.39,22.44,30.63,655.68,8.6,2.34
2017-08-26,한림항 H01,33.415556,126.255278,구름조금,10,표층,2.3,3,26.85,27.39,7.89,6.72,2.08,11.69,28.41,234.21,274.3,498.98,13.49,47.13,214.98,6.9,0.44
2017-08-26,한림항 H01,33.415556,126.255278,구름조금,10,저증,2.3,3,26.59,28.46,7.95,6.84,2.08,13.66,2.58,18.68,34.91,429.78,15.75,44.73,424.12,12.7,0.52
2017-08-26,한림항 H02,33.418056,126.259722,구름조금,14,표층,5.5,3,28.3,29.47,8.29,6.63,1.69,0.57,2.72,64.44,67.73,783.36,9.89,61.33,256.31,3.3,0.48
2017-08-26,한림항 H02,33.418056,126.259722,구름조금,14,저증,5.5,3,23.37,31.78,8.29,6.15,1.69,1.25,0.97,43.29,45.51,176.04,8.87,9.39,200.65,2.75,0.42
2017-08-27,서귀포항 H01,33.236389,126.565278,맑음,3,표층,1.3,3,26.82,31.46,8.05,5.91,2.02,5.03,8.04,13.72,26.79,197.81,14.29,28.43,548.35,9.9,1.38
2017-08-27,서귀포항 H01,33.236389,126.565278,맑음,3,저증,1.3,3,26.95,31.39,8.05,6,2.02,3.9,5.18,17.77,26.85,220.81,24.09,26.97,413.81,18.1,2.75
2017-08-27,서귀포항 H02,33.240278,126.56,맑음,16,표층,2.2,3,25.61,28.91,8,6.42,1.85,7.14,23.11,293.33,323.58,341.57,18.5,39.62,390.1,16.1,0.68
2017-08-27,서귀포항 H02,33.240278,126.56,맑음,16,저증,2.2,3,25.34,29.15,8,6.47,1.85,8.02,20.34,239.54,267.91,436.73,36.86,39.03,525.9,18.2,0.62
2018-02-25,서귀포항 H01,33.236389,126.565278,구름조금,4,표층,4.3,2,14.54,34.14,8.28,8.22,1.84,15.51,3.15,128.8,147.46,288.18,16.28,20.65,533.09,6.65,0.25
